GO:0000001	mitochondrion inheritance
GO:0000002	mitochondrial genome maintenance
GO:0000003	reproduction
GO:0000011	vacuole inheritance
GO:0000017	alpha-glucoside transport
GO:0000018	regulation of DNA recombination
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000025	maltose catabolic process
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000032	cell wall mannoprotein biosynthetic process
GO:0000038	very long-chain fatty acid metabolic process
GO:0000040	low-affinity iron ion transport
GO:0000041	transition metal ion transport
GO:0000042	protein targeting to Golgi
GO:0000045	autophagic vacuole assembly
GO:0000046	autophagic vacuole fusion
GO:0000050	urea cycle
GO:0000054	ribosomal subunit export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000056	ribosomal small subunit export from nucleus
GO:0000060	protein import into nucleus, translocation
GO:0000061	protein import into nucleus, substrate release
GO:0000066	mitochondrial ornithine transport
GO:0000070	mitotic sister chromatid segregation
GO:0000073	spindle pole body separation
GO:0000075	cell cycle checkpoint
GO:0000076	DNA replication checkpoint
GO:0000077	DNA damage checkpoint
GO:0000078	cytokinesis after mitosis checkpoint
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000098	sulfur amino acid catabolic process
GO:0000101	sulfur amino acid transport
GO:0000103	sulfate assimilation
GO:0000105	histidine biosynthetic process
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0000128	flocculation
GO:0000132	establishment of mitotic spindle orientation
GO:0000147	actin cortical patch assembly
GO:0000154	rRNA modification
GO:0000160	phosphorelay signal transduction system
GO:0000161	MAPK cascade involved in osmosensory signaling pathway
GO:0000162	tryptophan biosynthetic process
GO:0000165	MAPK cascade
GO:0000167	activation of MAPKKK activity involved in osmosensory signaling pathway
GO:0000169	activation of MAPK activity involved in osmosensory signaling pathway
GO:0000173	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000183	chromatin silencing at rDNA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000189	MAPK import into nucleus
GO:0000196	MAPK cascade involved in cell wall organization or biogenesis
GO:0000200	inactivation of MAPK activity involved in cell wall organization or biogenesis
GO:0000208	MAPK import into nucleus involved in osmosensory signaling pathway
GO:0000209	protein polyubiquitination
GO:0000212	meiotic spindle organization
GO:0000226	microtubule cytoskeleton organization
GO:0000244	spliceosomal tri-snRNP complex assembly
GO:0000245	spliceosomal complex assembly
GO:0000255	allantoin metabolic process
GO:0000256	allantoin catabolic process
GO:0000266	mitochondrial fission
GO:0000271	polysaccharide biosynthetic process
GO:0000272	polysaccharide catabolic process
GO:0000278	mitotic cell cycle
GO:0000280	nuclear division
GO:0000281	mitotic cytokinesis
GO:0000282	cellular bud site selection
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
GO:0000296	spermine transport
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000303	response to superoxide
GO:0000304	response to singlet oxygen
GO:0000316	sulfite transport
GO:0000320	re-entry into mitotic cell cycle
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest
GO:0000338	protein deneddylation
GO:0000348	mRNA branch site recognition
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000354	cis assembly of pre-catalytic spliceosome
GO:0000372	Group I intron splicing
GO:0000373	Group II intron splicing
GO:0000375	RNA splicing, via transesterification reactions
GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000378	RNA exon ligation
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000387	spliceosomal snRNP assembly
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389	mRNA 3'-splice site recognition
GO:0000390	spliceosomal complex disassembly
GO:0000393	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000409	regulation of transcription by galactose
GO:0000411	positive regulation of transcription by galactose
GO:0000412	histone peptidyl-prolyl isomerization
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000414	regulation of histone H3-K36 methylation
GO:0000415	negative regulation of histone H3-K36 methylation
GO:0000416	positive regulation of histone H3-K36 methylation
GO:0000422	mitochondrion degradation
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000433	negative regulation of transcription from RNA polymerase II promoter by glucose
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000437	carbon catabolite repression of transcription from RNA polymerase II promoter
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000455	enzyme-directed rRNA pseudouridine synthesis
GO:0000459	exonucleolytic trimming involved in rRNA processing
GO:0000460	maturation of 5.8S rRNA
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000465	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	cleavage involved in rRNA processing
GO:0000470	maturation of LSU-rRNA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	endonucleolytic cleavage involved in rRNA processing
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	maturation of 5S rRNA
GO:0000491	small nucleolar ribonucleoprotein complex assembly
GO:0000492	box C/D snoRNP assembly
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D snoRNA 3'-end processing
GO:0000495	box H/ACA snoRNA 3'-end processing
GO:0000501	flocculation via cell wall protein-carbohydrate interaction
GO:0000706	meiotic DNA double-strand break processing
GO:0000707	meiotic DNA recombinase assembly
GO:0000709	meiotic joint molecule formation
GO:0000710	meiotic mismatch repair
GO:0000712	resolution of meiotic recombination intermediates
GO:0000713	meiotic heteroduplex formation
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000719	photoreactive repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000726	non-recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000728	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000733	DNA strand renaturation
GO:0000734	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	removal of nonhomologous ends
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000740	nuclear membrane fusion
GO:0000741	karyogamy
GO:0000742	karyogamy involved in conjugation with cellular fusion
GO:0000743	nuclear migration involved in conjugation with cellular fusion
GO:0000746	conjugation
GO:0000747	conjugation with cellular fusion
GO:0000749	response to pheromone involved in conjugation with cellular fusion
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	cell cycle arrest in response to pheromone
GO:0000752	agglutination involved in conjugation with cellular fusion
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	cytogamy
GO:0000767	cell morphogenesis involved in conjugation
GO:0000770	peptide pheromone export
GO:0000771	agglutination involved in conjugation
